               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,           0.0048863,           0.0031964,            0.027131,             0.72918,             0.88995,             0.84937,              0.7484,           0.0069043,            0.003414,            0.012004,            0.008878,            0.008878,            0.008878
                  36,           0.0048093,           0.0031414,            0.027412,             0.70397,             0.90772,             0.83343,             0.74396,           0.0067812,           0.0033719,            0.012117,            0.008845,            0.008845,            0.008845
                  37,             0.00479,           0.0031268,            0.027166,             0.71588,             0.88437,             0.83392,             0.74713,           0.0068636,           0.0032681,            0.011859,            0.008812,            0.008812,            0.008812
                  38,           0.0047124,           0.0030763,            0.027111,             0.70639,             0.89703,             0.83552,             0.75145,           0.0068675,           0.0032213,            0.011602,            0.008779,            0.008779,            0.008779
                  39,           0.0047252,           0.0030827,            0.026913,             0.68833,             0.90307,             0.84439,             0.76027,           0.0069281,            0.003269,            0.011635,            0.008746,            0.008746,            0.008746
                  40,            0.004638,           0.0030897,            0.027089,             0.72079,             0.85666,             0.84684,             0.75346,           0.0070995,           0.0033911,            0.011473,            0.008713,            0.008713,            0.008713
                  41,           0.0046779,           0.0030999,             0.02669,             0.72135,               0.875,             0.84861,             0.74243,           0.0070825,           0.0034964,            0.011663,             0.00868,             0.00868,             0.00868
                  42,           0.0046452,           0.0030232,            0.026972,             0.71829,             0.88171,             0.85329,             0.75105,           0.0070962,            0.003422,            0.011765,            0.008647,            0.008647,            0.008647
                  43,           0.0046566,            0.003082,            0.026956,             0.71492,             0.88951,             0.85187,             0.74544,           0.0072195,           0.0034549,            0.011745,            0.008614,            0.008614,            0.008614
                  44,           0.0045709,           0.0030339,            0.026817,             0.71967,             0.88239,              0.8569,              0.7484,           0.0072685,           0.0034327,            0.011732,            0.008581,            0.008581,            0.008581
                  45,           0.0045848,           0.0029905,             0.02687,             0.72638,             0.88691,             0.85416,             0.74629,           0.0072986,           0.0034584,            0.011639,            0.008548,            0.008548,            0.008548
                  46,           0.0045288,           0.0029608,            0.026676,             0.71573,             0.88302,             0.85424,             0.74285,           0.0073138,           0.0034614,            0.011585,            0.008515,            0.008515,            0.008515
                  47,           0.0044265,           0.0029618,            0.026646,             0.71658,             0.87293,             0.85367,             0.73891,           0.0073255,           0.0035194,             0.01147,            0.008482,            0.008482,            0.008482
                  48,           0.0045151,           0.0029822,            0.026547,             0.71521,             0.87711,             0.85636,             0.73663,           0.0073722,           0.0035693,            0.011356,            0.008449,            0.008449,            0.008449
                  49,           0.0045288,           0.0030093,            0.026412,             0.70687,             0.86389,             0.85301,             0.73251,           0.0073769,           0.0035661,            0.011373,            0.008416,            0.008416,            0.008416
                  50,           0.0044209,           0.0029566,            0.026457,             0.70625,             0.88965,             0.85148,             0.72754,           0.0073378,           0.0035816,            0.011412,            0.008383,            0.008383,            0.008383
                  51,           0.0044893,           0.0029886,            0.026594,             0.70453,             0.86588,              0.8527,             0.72404,           0.0073516,            0.003619,            0.011455,             0.00835,             0.00835,             0.00835
                  52,              0.0044,           0.0029313,            0.026564,             0.72344,             0.81631,             0.85148,             0.72214,           0.0073015,            0.003645,            0.011442,            0.008317,            0.008317,            0.008317
                  53,           0.0044065,           0.0029559,            0.026295,             0.72322,             0.81537,             0.84984,             0.71449,           0.0072885,           0.0036461,            0.011406,            0.008284,            0.008284,            0.008284
                  54,           0.0043711,           0.0029144,             0.02634,             0.73439,             0.81044,             0.85089,             0.71516,           0.0072864,           0.0036506,            0.011315,            0.008251,            0.008251,            0.008251
                  55,            0.004385,           0.0029948,            0.026198,             0.73735,             0.81028,             0.85002,             0.71531,           0.0072821,           0.0036716,            0.011285,            0.008218,            0.008218,            0.008218
                  56,           0.0043209,           0.0028587,            0.026312,             0.73512,             0.81639,             0.84966,             0.71178,           0.0073005,           0.0036807,            0.011265,            0.008185,            0.008185,            0.008185
                  57,            0.004333,           0.0029014,            0.026328,             0.73535,             0.81733,             0.84769,             0.70952,           0.0073098,           0.0036884,            0.011299,            0.008152,            0.008152,            0.008152
                  58,           0.0043056,           0.0028686,            0.026325,             0.73785,             0.81163,             0.84855,             0.70643,            0.007308,           0.0036933,            0.011304,            0.008119,            0.008119,            0.008119
                  59,           0.0043164,           0.0028852,            0.025963,             0.73716,             0.81113,             0.84911,             0.70574,           0.0073094,           0.0037042,             0.01129,            0.008086,            0.008086,            0.008086
                  60,           0.0042359,           0.0028634,               0.026,             0.69956,              0.8661,             0.84762,             0.70511,            0.007323,           0.0037253,            0.011282,            0.008053,            0.008053,            0.008053
                  61,           0.0042018,           0.0028471,            0.026244,             0.71984,             0.82673,             0.84861,             0.70537,           0.0073498,            0.003747,            0.011273,             0.00802,             0.00802,             0.00802
                  62,           0.0042313,           0.0028674,             0.02618,             0.70492,             0.85569,             0.84637,             0.70206,           0.0073582,           0.0037539,            0.011284,            0.007987,            0.007987,            0.007987
                  63,            0.004218,            0.002861,            0.026281,             0.70004,             0.86562,             0.84619,             0.70002,           0.0073805,           0.0037554,            0.011285,            0.007954,            0.007954,            0.007954
                  64,           0.0041611,            0.002823,            0.026018,             0.70036,             0.86645,             0.84618,             0.70116,           0.0073852,           0.0037519,            0.011306,            0.007921,            0.007921,            0.007921
                  65,           0.0041323,           0.0027971,            0.025847,             0.70258,             0.85947,             0.84655,             0.70209,           0.0073903,           0.0037568,            0.011297,            0.007888,            0.007888,            0.007888
                  66,           0.0041986,           0.0028166,            0.025934,             0.70756,             0.85565,             0.84548,             0.70158,           0.0074074,           0.0037558,            0.011298,            0.007855,            0.007855,            0.007855
                  67,           0.0041289,           0.0027801,            0.025889,             0.70481,             0.85898,             0.84557,             0.70146,           0.0074312,           0.0037572,            0.011317,            0.007822,            0.007822,            0.007822
                  68,           0.0041841,           0.0028175,             0.02615,             0.70303,             0.86447,             0.84571,             0.69838,           0.0074546,           0.0037638,            0.011319,            0.007789,            0.007789,            0.007789
                  69,           0.0040934,           0.0028087,            0.025679,             0.70882,              0.8577,             0.84537,              0.6974,           0.0074693,           0.0037693,            0.011337,            0.007756,            0.007756,            0.007756
                  70,           0.0041173,           0.0028042,            0.026005,             0.71048,             0.84159,             0.84693,             0.69933,           0.0074868,           0.0037746,            0.011362,            0.007723,            0.007723,            0.007723
                  71,           0.0041166,           0.0028178,            0.025664,             0.70744,             0.82981,             0.84578,             0.69886,           0.0075024,           0.0037807,            0.011377,             0.00769,             0.00769,             0.00769
                  72,           0.0040474,           0.0027779,            0.025783,             0.70855,             0.82704,             0.84649,             0.69839,           0.0075215,           0.0037843,            0.011387,            0.007657,            0.007657,            0.007657
                  73,           0.0040722,           0.0027485,            0.025508,             0.71865,             0.82706,             0.84653,             0.69973,           0.0075269,            0.003787,            0.011414,            0.007624,            0.007624,            0.007624
                  74,            0.004047,           0.0027684,            0.025675,             0.71795,             0.82553,             0.84708,             0.69957,           0.0075466,           0.0037933,            0.011417,            0.007591,            0.007591,            0.007591
                  75,            0.003995,           0.0027525,            0.025794,             0.72243,             0.84267,             0.84781,             0.69974,           0.0075609,           0.0038086,            0.011404,            0.007558,            0.007558,            0.007558
                  76,           0.0040013,           0.0027479,            0.025693,             0.73554,             0.82861,              0.8487,             0.69995,           0.0075476,            0.003816,            0.011384,            0.007525,            0.007525,            0.007525
                  77,           0.0040025,           0.0027294,            0.025485,             0.73466,             0.82517,             0.84942,             0.70114,           0.0075366,           0.0038243,            0.011364,            0.007492,            0.007492,            0.007492
