               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,           0.0033009,            0.002142,            0.019551,             0.61928,              0.8553,             0.79011,             0.75394,           0.0017754,           0.0028567,            0.006648,            0.008878,            0.008878,            0.008878
                  36,           0.0031464,            0.002084,            0.019676,             0.66688,             0.77376,             0.81327,              0.7722,           0.0016087,           0.0029657,           0.0065218,            0.008845,            0.008845,            0.008845
                  37,           0.0031864,           0.0021241,            0.019734,              0.6876,             0.78082,             0.83561,             0.79363,            0.001597,           0.0028992,           0.0062805,            0.008812,            0.008812,            0.008812
                  38,           0.0031806,           0.0020935,             0.01964,             0.68546,             0.82552,             0.83049,             0.79473,           0.0016841,           0.0028548,           0.0062678,            0.008779,            0.008779,            0.008779
                  39,           0.0031256,           0.0020943,             0.01945,             0.69316,             0.81159,             0.83379,             0.79583,           0.0015704,           0.0028954,           0.0062102,            0.008746,            0.008746,            0.008746
                  40,           0.0030152,           0.0020784,            0.019299,             0.68774,             0.82036,             0.83275,             0.79371,           0.0014735,           0.0028052,           0.0061635,            0.008713,            0.008713,            0.008713
                  41,           0.0030314,           0.0020768,            0.019183,             0.71158,             0.80744,              0.8392,             0.79911,           0.0014832,           0.0028477,           0.0060925,             0.00868,             0.00868,             0.00868
                  42,           0.0029913,           0.0020291,            0.019678,             0.71327,             0.79454,             0.85068,             0.81044,           0.0014495,            0.002837,           0.0060817,            0.008647,            0.008647,            0.008647
                  43,           0.0029853,           0.0020458,            0.019538,             0.73445,             0.80512,             0.85067,             0.81408,           0.0013964,           0.0028659,            0.006168,            0.008614,            0.008614,            0.008614
                  44,           0.0029928,            0.002025,            0.019265,             0.72441,             0.81089,             0.84656,             0.81335,           0.0014182,           0.0029155,           0.0061268,            0.008581,            0.008581,            0.008581
                  45,           0.0029353,            0.002006,            0.019425,             0.71463,             0.81231,             0.84381,             0.80649,           0.0014939,           0.0030226,           0.0060765,            0.008548,            0.008548,            0.008548
                  46,           0.0029382,           0.0019898,            0.019286,             0.71875,             0.81494,             0.84619,             0.81081,           0.0014328,           0.0030019,           0.0060673,            0.008515,            0.008515,            0.008515
                  47,           0.0029176,           0.0020142,            0.019443,             0.71096,              0.8177,             0.84513,             0.81661,           0.0013756,           0.0029659,           0.0060758,            0.008482,            0.008482,            0.008482
                  48,           0.0028957,           0.0019868,               0.019,             0.71233,             0.81214,             0.84734,             0.82173,           0.0012798,           0.0029488,           0.0060732,            0.008449,            0.008449,            0.008449
                  49,           0.0028582,           0.0019808,            0.018963,             0.71694,             0.81311,             0.84706,              0.8176,           0.0012927,           0.0029261,           0.0060853,            0.008416,            0.008416,            0.008416
                  50,           0.0028076,           0.0019825,            0.019083,             0.70305,             0.83685,             0.84066,             0.80942,            0.001296,           0.0029117,           0.0060709,            0.008383,            0.008383,            0.008383
                  51,           0.0029096,           0.0019752,            0.018986,             0.70057,             0.82961,              0.8419,             0.80884,           0.0013073,           0.0029419,           0.0060569,             0.00835,             0.00835,             0.00835
                  52,           0.0028658,           0.0019602,            0.019178,             0.69693,             0.83247,             0.84731,             0.81876,           0.0012893,           0.0029545,           0.0060232,            0.008317,            0.008317,            0.008317
                  53,           0.0028033,           0.0019546,            0.018911,              0.6917,             0.83621,             0.84597,             0.81501,            0.001324,           0.0029866,           0.0059918,            0.008284,            0.008284,            0.008284
                  54,           0.0028798,           0.0019572,            0.018988,             0.69024,             0.83098,             0.84843,             0.81838,           0.0013006,           0.0029741,           0.0059532,            0.008251,            0.008251,            0.008251
                  55,           0.0028266,           0.0020094,            0.018943,             0.68965,             0.82708,             0.84659,             0.82027,           0.0012768,           0.0029621,           0.0059349,            0.008218,            0.008218,            0.008218
                  56,           0.0028702,           0.0019441,            0.018958,             0.69771,             0.82679,              0.8473,             0.82138,           0.0012567,           0.0029406,           0.0059329,            0.008185,            0.008185,            0.008185
                  57,           0.0028396,           0.0019535,            0.018902,             0.68656,             0.82732,             0.84769,             0.82104,           0.0012537,           0.0029558,           0.0059378,            0.008152,            0.008152,            0.008152
                  58,           0.0027968,           0.0019359,            0.019079,             0.68623,              0.8311,             0.84877,              0.8212,           0.0012678,           0.0029616,           0.0059382,            0.008119,            0.008119,            0.008119
                  59,           0.0028167,           0.0018946,            0.018839,             0.68815,             0.83735,             0.84713,             0.82106,           0.0012778,            0.002958,           0.0059346,            0.008086,            0.008086,            0.008086
                  60,           0.0027457,           0.0018809,            0.018821,              0.6873,             0.82749,             0.84824,             0.82231,           0.0012543,           0.0029515,            0.005931,            0.008053,            0.008053,            0.008053
                  61,           0.0027539,           0.0019324,             0.01905,             0.70162,             0.82635,             0.84944,             0.82388,           0.0012503,           0.0029597,           0.0059202,             0.00802,             0.00802,             0.00802
                  62,           0.0028217,           0.0019067,            0.018879,             0.69892,             0.82612,             0.85645,             0.83318,           0.0012254,            0.002937,            0.005914,            0.007987,            0.007987,            0.007987
                  63,           0.0026949,           0.0018785,            0.018966,             0.68689,             0.84093,             0.85585,             0.83237,           0.0012085,           0.0029365,           0.0059035,            0.007954,            0.007954,            0.007954
                  64,            0.002708,            0.001908,            0.018978,             0.68672,              0.8419,             0.85512,             0.83153,           0.0011929,           0.0029493,           0.0058927,            0.007921,            0.007921,            0.007921
                  65,           0.0026722,           0.0018862,            0.018525,             0.69758,              0.8268,             0.85446,             0.83405,           0.0011862,           0.0029528,           0.0058777,            0.007888,            0.007888,            0.007888
                  66,           0.0026201,           0.0018661,            0.018552,             0.70079,             0.84656,              0.8559,             0.83409,           0.0011665,           0.0029616,           0.0058728,            0.007855,            0.007855,            0.007855
                  67,           0.0026463,           0.0018424,            0.018686,             0.70221,             0.84392,             0.85683,             0.83955,           0.0011484,           0.0029643,           0.0058659,            0.007822,            0.007822,            0.007822
                  68,            0.002726,           0.0018557,            0.018923,               0.703,             0.84209,              0.8566,             0.83908,           0.0011233,           0.0029526,           0.0058584,            0.007789,            0.007789,            0.007789
                  69,           0.0026651,            0.001885,             0.01857,             0.70083,             0.84242,             0.85871,             0.84086,           0.0011111,           0.0029588,           0.0058548,            0.007756,            0.007756,            0.007756
                  70,           0.0026496,           0.0018514,            0.018854,             0.70024,             0.84405,             0.85984,             0.84121,           0.0011057,           0.0029703,           0.0058532,            0.007723,            0.007723,            0.007723
                  71,           0.0026274,            0.001864,            0.018455,              0.6993,             0.84484,             0.86099,             0.84203,           0.0010865,           0.0029725,           0.0058434,             0.00769,             0.00769,             0.00769
                  72,           0.0026087,            0.001872,             0.01859,             0.70037,             0.84373,             0.85848,             0.83898,           0.0010734,           0.0029768,           0.0058404,            0.007657,            0.007657,            0.007657
                  73,            0.002515,           0.0018307,            0.018252,             0.72671,             0.79873,             0.86107,             0.84041,           0.0010665,           0.0029847,           0.0058349,            0.007624,            0.007624,            0.007624
                  74,           0.0026721,           0.0018376,            0.018704,             0.72739,             0.80011,             0.86176,             0.83847,           0.0010571,           0.0029899,           0.0058247,            0.007591,            0.007591,            0.007591
                  75,           0.0026145,           0.0018231,            0.018705,             0.73306,             0.80833,             0.86498,             0.84526,           0.0010472,           0.0029798,            0.005812,            0.007558,            0.007558,            0.007558
                  76,           0.0026941,           0.0018321,            0.018387,              0.7305,             0.80583,             0.86606,             0.84664,           0.0010517,           0.0029836,           0.0058051,            0.007525,            0.007525,            0.007525
                  77,           0.0026693,            0.001832,            0.018569,             0.72565,             0.81081,             0.86609,             0.84867,           0.0010416,           0.0029929,           0.0058071,            0.007492,            0.007492,            0.007492
                  78,           0.0025683,           0.0018069,            0.018335,             0.71464,             0.79878,             0.86571,             0.84977,           0.0010325,           0.0029918,           0.0057901,            0.007459,            0.007459,            0.007459
                  79,            0.002529,           0.0017751,            0.018394,             0.71328,             0.79889,             0.86456,              0.8498,           0.0010207,           0.0030043,           0.0057842,            0.007426,            0.007426,            0.007426
                  80,           0.0025329,            0.001795,            0.018415,             0.71429,             0.79868,             0.86351,             0.84852,           0.0010101,           0.0030049,           0.0057799,            0.007393,            0.007393,            0.007393
                  81,            0.002539,           0.0017996,            0.018683,             0.71473,             0.81469,             0.86404,             0.85027,          0.00099174,           0.0029943,           0.0057773,             0.00736,             0.00736,             0.00736
                  82,           0.0025445,           0.0017978,            0.018491,              0.7146,              0.8156,             0.86428,             0.85133,          0.00098639,           0.0029907,           0.0057767,            0.007327,            0.007327,            0.007327
                  83,           0.0025085,           0.0018171,            0.018377,             0.71614,             0.81415,             0.86515,             0.85266,          0.00098175,           0.0029926,           0.0057907,            0.007294,            0.007294,            0.007294
                  84,            0.002558,           0.0018213,            0.018377,             0.71558,             0.81331,             0.86372,             0.85215,          0.00094082,           0.0029752,           0.0058058,            0.007261,            0.007261,            0.007261
                  85,           0.0025141,           0.0018036,             0.01816,             0.71449,             0.81297,             0.86345,             0.85111,          0.00094029,           0.0029651,           0.0058156,            0.007228,            0.007228,            0.007228
                  86,           0.0025211,           0.0017602,            0.018398,              0.7176,             0.81238,             0.86412,             0.85281,          0.00093263,            0.002967,           0.0058175,            0.007195,            0.007195,            0.007195
                  87,           0.0024483,           0.0017549,            0.018583,             0.72226,             0.81036,             0.86612,             0.85598,          0.00093247,           0.0029719,           0.0058234,            0.007162,            0.007162,            0.007162
